略称	正式名称
教特法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律	教育公務員特例法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律
天災融資法	天災による被害農林漁業者等に対する資金の融通に関する暫定措置法
就学奨励援助法	就学困難な児童及び生徒に係る就学奨励についての国の援助に関する法律
債権管理法	国の債権の管理等に関する法律
売防法	売春防止法
取適法	製造委託等に係る中小受託事業者に対する代金の支払の遅延等の防止に関する法律
中小受託取引適正化法	製造委託等に係る中小受託事業者に対する代金の支払の遅延等の防止に関する法律
労審法	労働保険審査官及び労働保険審査会法
国公共済法第九十条の規定による公務傷病年金等の額の改定に関する法律	国家公務員共済組合法第九十条の規定による公務傷病年金等の額の改定に関する法律
血液法	安全な血液製剤の安定供給の確保等に関する法律
地教行法	地方教育行政の組織及び運営に関する法律
地方教育行政法	地方教育行政の組織及び運営に関する法律
雪寒法	積雪寒冷特別地域における道路交通の確保に関する特別措置法
恩給特例法	旧軍人等の遺族に対する恩給等の特例に関する法律
租特法	租税特別措置法
特ダム法	特定多目的ダム法
ダム法	特定多目的ダム法
滞調法	滞納処分と強制執行等との手続の調整に関する法律
庁舎法	国の庁舎等の使用調整等に関する特別措置法
原子炉等規制法	核原料物質、核燃料物質及び原子炉の規制に関する法律
放射線障害防止法	放射性同位元素等の規制に関する法律
放射性同位元素等規制法	放射性同位元素等の規制に関する法律
中小企業団体法	中小企業団体の組織に関する法律
生活衛生関係営業適正化・振興法	生活衛生関係営業の運営の適正化及び振興に関する法律
銃刀法	銃砲刀剣類所持等取締法
道路整備事業財政特別措置法	道路整備事業に係る国の財政上の特別措置に関する法律
道路財特法	道路整備事業に係る国の財政上の特別措置に関する法律
道路整備財源特例法	道路整備事業に係る国の財政上の特別措置に関する法律
道路特例法	道路整備事業に係る国の財政上の特別措置に関する法律
施設費負担法	義務教育諸学校等の施設費の国庫負担等に関する法律
義務教育標準法	公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律
義務標準法	公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律
義務教育諸学校標準法	公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律
国公共済法	国家公務員共済組合法
国公共済法の長期給付に関する施行法	国家公務員共済組合法の長期給付に関する施行法
電質法	電話加入権質に関する臨時特例法
国健保法	国民健康保険法
国保法	国民健康保険法
国健保法施行法　抄	国民健康保険法施行法
国保法施行法　抄	国民健康保険法施行法
駐留軍法	駐留軍関係離職者等臨時措置法
最賃法	最低賃金法
商調法	小売商業調整特別措置法
中退法	中小企業退職金共済法
未帰還者特別措置法	未帰還者に関する特別措置法
知福法	知的障害者福祉法
道交法	道路交通法
障害者雇用促進法	障害者の雇用の促進等に関する法律
薬機法	医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律
医薬品医療機器等法	医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律
薬事法	医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律
果振法	果樹農業振興特別措置法
農協合併助成法	農業協同組合合併助成法
後進地域特例法	後進地域の開発に関する公共事業に係る国の負担割合の特例に関する法律
後進地域開発特例法	後進地域の開発に関する公共事業に係る国の負担割合の特例に関する法律
原賠法	原子力損害の賠償に関する法律
原子力損害賠償法	原子力損害の賠償に関する法律
補償契約法	原子力損害賠償補償契約に関する法律
割販法	割賦販売法
畜産経営安定法	畜産経営の安定に関する法律
畜安法	畜産経営の安定に関する法律
畜産物価格安定法	畜産経営の安定に関する法律
高校標準法	公立高等学校の適正配置及び教職員定数の標準等に関する法律
高等学校標準法	公立高等学校の適正配置及び教職員定数の標準等に関する法律
宅造法	宅地造成及び特定盛土等規制法
災対法	災害対策基本法
電安法	電気用品安全法
ＰＳＥ法	電気用品安全法
酩酊防止法	酒に酔つて公衆に迷惑をかける行為の防止等に関する法律
トラ退治法	酒に酔つて公衆に迷惑をかける行為の防止等に関する法律
酔っぱらい防止法	酒に酔つて公衆に迷惑をかける行為の防止等に関する法律
無償法	義務教育諸学校の教科用図書の無償に関する法律
マンション法	建物の区分所有等に関する法律
区分所有法	建物の区分所有等に関する法律
辺地法	辺地に係る公共的施設の総合整備のための財政上の特別措置等に関する法律
ビル用水法	建築物用地下水の採取の規制に関する法律
住居表示法	住居表示に関する法律
景品表示法	不当景品類及び不当表示防止法
景表法	不当景品類及び不当表示防止法
行訴法	行政事件訴訟法
外国居住者等所得相互免除法	外国居住者等の所得に対する相互主義による所得税等の非課税等に関する法律
ガレージ法	自動車の保管場所の確保等に関する法律
車庫法	自動車の保管場所の確保等に関する法律
激甚災害法	激甚災害に対処するための特別の財政援助等に関する法律
激甚法	激甚災害に対処するための特別の財政援助等に関する法律
豪雪法	豪雪地帯対策特別措置法
豪雪対策法	豪雪地帯対策特別措置法
豪雪特措法	豪雪地帯対策特別措置法
豪雪地帯特措法	豪雪地帯対策特別措置法
樹木保存法	都市の美観風致を維持するための樹木の保存に関する法律
戦没者妻特給法	戦没者等の妻に対する特別給付金支給法
共同溝法	共同溝の整備等に関する特別措置法
第三者所有物没収手続応急措置法	刑事事件における第三者所有物の没収手続に関する応急措置法
不動産鑑定評価法	不動産の鑑定評価に関する法律
不動産鑑定法	不動産の鑑定評価に関する法律
教科書無償措置法	義務教育諸学校の教科用図書の無償措置に関する法律
国事行為臨時代行法	国事行為の臨時代行に関する法律
新幹線妨害特例法	新幹線鉄道における列車運行の安全を妨げる行為の処罰に関する特例法
新幹線安全特例法	新幹線鉄道における列車運行の安全を妨げる行為の処罰に関する特例法
母子父子寡婦福祉法	母子及び父子並びに寡婦福祉法
母子父子寡婦法	母子及び父子並びに寡婦福祉法
特別児童扶養手当法	特別児童扶養手当等の支給に関する法律
電事法	電気事業法
特別弔慰金支給法	戦没者等の遺族に対する特別弔慰金支給法
地震保険法	地震保険に関する法律
官公需法	官公需についての中小企業者の受注の確保に関する法律
